ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
REIT11	Singulare Fundo de Investimento Imobiliário	Papel: CRIs	Singulare CTVM	0,0263	R$21,58	R$13,54 M	R$514,95	10/03/2014	Títulos e Valores Mobiliários Gestão Ativa	26.291	0,00376	0,01662	0,01662	5
RELG11	Rec Logística	Tijolo: Galpões	BRL Trust DTVM	0,011000000000000001	R$0,80	R$127,66 M	R$95,65	17/05/2020	Híbrido Gestão Ativa	1.334.562	0,00105	0,00803	0,00803	10
RFOF11	RB Capital I Fundo de Fundos	Papel: Fundo de Fundos	BRL Trust DTVM	0,0097	R$0,63	R$90,31 M	R$83,76	30/09/2019	Títulos e Valores Mobiliários Gestão Ativa	1.078.164	0,00036	0,00762	0,00762	10
RMAI11	Reag Multi Ativos Imobiliários	Tijolo: Escritórios	Reag DTVM	0,0078000000000000005	R$0,26	R$270,10 M	R$110,52	27/03/2013	Renda Gestão Ativa	2.443.800	0,00286	0,01390	0,01390	5
RNDP11	BB Renda de Papéis Imobiliários	Papel: CRIs	Votorantim Asset Management	0,0075	R$4,65	R$75,03 M	R$698,04	17/04/2012	Títulos e Valores Mobiliários Gestão Ativa	107.481	0,00143	0,00546	0,00546	9
RNGO11	Rio Negro	Tijolo: Escritórios	Rio Bravo Investimentos	0,0069	R$0,35	R$234,09 M	R$87,48	09/05/2012	Renda Gestão Passiva	2.676.000	0,00025	0,00597	0,00597	10
RRCI11	RB Capital Recebíveis Imobiliários	Papel: CRIs	BRL Trust DTVM	0,0116	R$0,89	R$46,94 M	R$97,43	10/07/2013	Renda Gestão Ativa	481.757	0,00165	0,00838	0,00838	10
RSPD11	RB Capital Desenvolvimento Residencial III	Tijolo: Desenvolvimento	Oliveira Trust	0,0092	R$11,10	R$168,37 M	R$1.130,10	14/12/2017	Desenvolvimento para Venda Gestão Ativa	148.986	-1.0	-1.0	0	0
RVBI11	VBI REITS FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0102	R$0,75	R$127,25 M	R$88,37	26/11/2019	Renda Gestão Ativa	1.440.000	0,00070	0,00811	0,00811	10
RZAK11	Riza Akin	Papel: CRIs	BTG Pactual	0,0121	R$1,00	R$286,47 M	R$95,44	02/09/2020	Títulos e Valores Mobiliários Gestão Ativa	3.001.734	0,00332	0,00779	0,00779	9
RZTR11	Riza Terrax	Indefinido	Brasil Plural S.A. Banco Múltiplo	0,0102	R$0,95	R$1,09 B	R$98,44	28/08/2020	Renda Gestão Ativa	11.048.018	0,00145	0,00805	0,00805	10
SADI11	Santander Papeis Imobiliários CDI	Papel: CRIs	Santander Caceis Brasil DTVM	0,0062	R$0,51	R$319,47 M	R$100,46	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	3.180.207	0,00142	0,00385	0,00385	10
SAIC11B	Sia Corporate	Tijolo: Escritórios	BRB DTVM	0,0184	R$0,66	R$77,46 M	R$54,18	18/03/2014	Desenvolvimento para Renda Gestão Passiva	1.429.740	-1.0	-1.0	0	0
SARE11	Santander Renda de Alugueis	Indefinido	Santander Caceis Brasil DTVM	0,0096	R$0,60	R$918,86 M	R$99,51	27/09/0209	Renda Gestão Ativa	9.234.329	0,00067	0,00670	0,00670	10
SCPF11	SCP	Tijolo: Shoppings	BR-CAPITAL	0,0015	R$0,01	R$53,39 M	R$12,71	03/01/1997	Renda Gestão Ativa	4.200.000	0,00170	0,00215	0,00215	10
SDIL11	SDI Logística Rio	Tijolo: Galpões	Rio Bravo Investimentos	0,0092	R$0,76	R$627,74 M	R$98,16	23/08/2012	Renda Gestão Ativa	6.395.050	0,00099	0,00665	0,00665	10
SEQR11	Sequoia III Renda Imobiliária	Indefinido	Vórtx DTVM LTDA	0,0086	R$0,63	R$168,00 M	R$104,44	31/12/2019	Renda Gestão Ativa	1.608.552	0,00058	0,00784	0,00784	7
SFND11	São Fernando	Tijolo: Escritórios	Rio Bravo Investimentos	0,0	R$5,51	R$16,51 M	R$16,82	19/06/2008	Renda Gestão Passiva	981.472	-1.0	-1.0	0	0
SHDP11B	Shopping Parque Dom Pedro	Tijolo: Shoppings	BTG Pactual	0,0058	R$6,96	R$2,15 B	R$1.487,00	16/12/2004	Renda Gestão Passiva	1.446.687	-1.0	-1.0	0	0
SHOP11	Multi Shoppings	Tijolo: Shoppings	Banco Modal S.A.	0,0	R$0,00	R$84,52 M	R$57,06	16/07/2015	Renda Gestão Ativa	1.481.266	-1.0	-1.0	0	0
SHPH11	Shopping Patio Higienopolis	Tijolo: Shoppings	Rio Bravo Investimentos	0,0049	R$4,07	R$502,17 M	R$824,64	07/12/1999	Renda Gestão Passiva	608.950	0,00121	0,00361	0,00361	10
SJAU11	SJ AU Logística	Tijolo: Galpões	Vórtx DTVM LTDA	0,0	R$0,00	R$791,30 M	R$99,76	12/06/2017	Renda Gestão Passiva	7.932.248	-1.0	-1.0	0	0
SNCI11	Suno Recebíveis	Papel: CRIs	BTG Pactual	0,0115	R$1,15	R$122,75 M	R$100,93	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	1.216.227	0,00195	0,00955	0,00955	2
SNFF11	Suno Fundo de Fundos	Papel: Fundo de Fundos	BTG Pactual	0,0073	R$0,62	R$225,90 M	R$90,36	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	2.500.000	0,00221	0,00545	0,00545	6
SOLR11	Solarium	Tijolo: Outros	Banco Genial	0,0069	R$7,95	R$63,36 M	R$1.007,63	07/10/2016	Híbrido Gestão Ativa	62.883	-1.0	-1.0	0	0
SPAF11	SPA Fundo de Investimento Imobiliário	Tijolo: Shoppings	Brasil Plural S.A. Banco Múltiplo	0,0	R$2,19	R$11,33 M	R$1.005,67	18/06/2016	Desenvolvimento para Renda Gestão Ativa	11.270	-1.0	-1.0	0	0
SPTW11	SP Downtown	Tijolo: Escritórios	Genial Investimentos Corretora de Valores	0,0241	R$1,13	R$89,20 M	R$49,61	18/04/2013	Renda Gestão Passiva	1.798.000	0,01835	0,02035	0,02035	10
STRX11	STARX FII	Tijolo: Desenvolvimento	Oliveira Trust	0,0	R$0,67	R$295,30 M	R$183,01	22/09/2010	Híbrido Gestão Passiva	1.613.559	-1.0	-1.0	0	0
TBOF11	TB Office	Tijolo: Escritórios	BTG Pactual	0,0008	R$0,09	R$960,19 K	R$0,10	28/12/2012	Renda Gestão Passiva	10.050.000	0,00032	0,00331	0,00331	7
TCIN11	G5 Cidade Nova	Tijolo: Escritórios	Singulare CTVM	0,0	R$0,00	R$117,49 M	R$141,35	30/10/2021	Renda Gestão Ativa	831.197	-1.0	-1.0	0	0
